30.11.2021                                       Edition de liste dynamique                                               1
---------------------------------------------------------------------------------------------------------------------------
ElémentOTP/Art.     BBG-213728-0209-02-001 / PCR0380P
Div./Util./Alt.     1000 / 2 / 01
Désignation         MASTERFOLD
Qté de base   (PC ) 1,000
Qté utilis. (PC )   1

---------------------------------------------------------------------------------------------------------------------------
|Niv|Noeud|N° composante                 |Déb.valid.|Fin valid.|Désignation objet                       |Gp.mar.ext|CatNcl|
| 7 |    1|BSA214510300                  |01.06.2008|31.12.9999|TOLE DECAPEE 3000X1500X3                |RMA       |M     |
| 6 |    2|BSA872206020                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 6     X 20      |SCC       |M     |
| 6 |    3|BSA0322277200                 |01.06.2008|31.12.9999|TOURILLON                               |CMP       |M     |
| 6 |    4|BSA819510070                  |01.06.2008|31.12.9999|V ST 6P A TN    M10     X 70            |SCC       |M     |
| 6 |    5|BSA0322277300                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 5 |    3|BSA0322104500                 |01.06.2008|31.12.9999|DOUILLE  6-PANS                         |CMP       |M     |
| 5 |    4|BSA0652267400                 |01.06.2008|31.12.9999|POIDS AC 37-2K      D60/11X 60          |CMP       |M     |
| 5 |    5|BSA1017101107                 |01.06.2008|31.12.9999|RESSORT COMPR. D=1.1 DM=8.5 L0=42       |SCC       |M     |
| 5 |    6|BSA1017101304                 |01.06.2008|31.12.9999|RESSORT COMPR. D=1.3 DM=7.9 L0=25       |SCC       |M     |
| 5 |    7|BSA1017101313                 |01.06.2008|31.12.9999|RESSORT COMPR. D=1.3 DM=8.3 L0=48.2     |SCC       |M     |
| 5 |    8|BSA1052016600                 |01.06.2008|31.12.9999|MARTEAU NYLON  TYPE 300 NO 6            |SCC       |M     |
| 5 |    9|BSA1052019600                 |01.06.2008|31.12.9999|CLE A FOURCHES NO 10  10 X 13           |SCC       |M     |
| 5 |   10|BSA1052019800                 |01.06.2008|31.12.9999|CLE A FOURCHES NO 10  17 X 19           |SCC       |M     |
| 5 |   11|BSA1052019900                 |01.06.2008|31.12.9999|CLE A FOURCHES NO 10  24 X 30           |SCC       |M     |
| 5 |   12|BSA1052020100                 |01.06.2008|31.12.9999|CLE A FOURCHES NO 10  8 X 10            |SCC       |M     |
| 5 |   13|BSA1052020200                 |01.06.2008|31.12.9999|CLE A FOURCHES NO 10  13 X 17           |SCC       |M     |
| 5 |   14|BSA1052020300                 |01.06.2008|31.12.9999|CLE A FOURCHES 19 X 24 ISO 10102        |SCC       |M     |
| 5 |   15|BSA1052020500                 |01.06.2008|31.12.9999|CLE A FOURCHES NO 10  30 X 32           |SCC       |M     |
| 5 |   16|BSA1053000500                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 5             |SCC       |M     |
| 5 |   17|BSA1053000600                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 6             |SCC       |M     |
| 5 |   18|BSA1053000800                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 8             |SCC       |M     |
| 5 |   19|BSA1053001000                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 10            |SCC       |M     |
| 5 |   20|BSA1053001400                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 14            |SCC       |M     |
| 5 |   21|BSA1053001700                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 17            |SCC       |M     |
| 5 |   22|BSA1053001800                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 4             |SCC       |M     |
| 5 |   23|BSA1053019500                 |01.06.2008|31.12.9999|CLE MALE 6P NO 10760 CV - 1,5           |SCC       |M     |
| 5 |   24|BSA1055000600                 |01.06.2008|31.12.9999|TOURNEVIS 100-4                         |SCC       |M     |
| 5 |   25|BSA1055000700                 |01.06.2008|31.12.9999|TOURNEVIS 102-5                         |SCC       |M     |
| 5 |   26|BSA1055002800                 |01.06.2008|31.12.9999|BROCHE COUDEE 6 X 130                   |SCD       |M     |
| 6 |    1|BSA282211600                  |01.06.2008|31.12.9999|BARRE RONDE RECTIFIEE D6                |RMA       |M     |
| 5 |   27|BSA1056003700                 |01.06.2008|31.12.9999|PINCE UNIVERSELLE 14.165 / 160          |SCC       |M     |
| 5 |   28|BSA1056004000                 |01.06.2008|31.12.9999|CLE A MOLETTE 30.020 / 8"               |SCC       |M     |
| 5 |   29|BSA1058000100                 |01.06.2008|31.12.9999|CAISSE A OUTILS 446 / 08                |SCC       |M     |
| 5 |   30|BSA1113183000                 |01.06.2008|31.12.9999|GALET  2 JOUES 40 X 25,6 TAR M8         |SCC       |M     |
| 5 |   31|BSA1113183400                 |01.06.2008|31.12.9999|GALET 2 JOUES 32 X 25,6 VIS M8          |SCC       |M     |
| 5 |   32|BSA1113205000                 |01.06.2008|31.12.9999|BOGIE                                   |SCD       |M     |
| 5 |   33|BSA1130005400                 |01.06.2008|31.12.9999|BIELLETTE GAUCHE                        |SCC       |M     |
| 5 |   34|BSA1130005500                 |01.06.2008|31.12.9999|BIELLETTE DROITE                        |SCC       |M     |
| 5 |   35|BSA1153000800                 |01.06.2008|31.12.9999|BURETTE 0,3L  EL 30.057 L=310           |SCC       |M     |
| 5 |   36|BSA1153013200                 |01.06.2008|31.12.9999|POMPE A GRAISSE                         |SCC       |M     |
| 5 |   37|BSA816110220                  |01.06.2008|31.12.9999|V TR 6P PF      M10/32  X220            |SCC       |M     |
| 5 |   38|BSA831700010                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M10X8           |SCC       |M     |
| 5 |   39|BSA1003410016                 |01.06.2008|31.12.9999|TIGE FILETEE M10X150                    |SCD       |M     |
| 5 |   40|BSA1007211003                 |01.06.2008|31.12.9999|RDL AC    11   / 60   X 5               |SCD       |M     |
| 4 |    2|BSA00350000CK                 |15.03.2021|31.12.9999|ME00 PLAQUE DE FIRME                    |GOC       |P     |
| 5 |    4|BSA0394768800                 |02.09.2019|31.12.9999|PLAQUE DE FIRME BOBST MEX AVEC CE ET EAC|CMP       |M     |
| 6 |    1|BSA0394631500                 |01.06.2008|31.12.9999|PLAQUE DE FIRME BSA - NEUTRE            |CMP       |M     |
| 5 |    6|BSA0394203200                 |01.06.2008|31.12.9999|PLAQUE DE FIRME ARMOIRE EL BSA          |CMP       |M     |
| 6 |    1|BSA0394638400                 |19.03.2010|31.12.9999|PLAQUE NOIRE A GRAVER 105 X 74          |CMP       |M     |
| 5 |    1|BSA1023003200                 |01.06.2008|31.12.9999|RIVET AVEUGLE POP ETANCHE 3.2/6X7.5     |SCC       |M     |
| 4 |    3|BSA00350000CL                 |15.03.2021|31.12.9999|ME00 CARTON POUR EMBALLAGE              |GOC       |P     |
| 5 |    1|BSA1980013500                 |01.06.2008|31.12.9999|EMBALLAGE - Carton 36X36X23 - fefco 201 |SCC       |M     |
| 5 |    2|BSA1980000300                 |01.06.2008|31.12.9999|EMBALLAGE - CARTON 60X43X16             |SCC       |M     |
| 4 |    4|BSA00350000CQ                 |15.03.2021|31.12.9999|ME00 LOGOS                              |GOC       |P     |
| 5 |    2|BSA0394207201                 |05.04.2021|31.12.9999|LOGO AUTOCOLLANT BOBST NOIR, TEXTE 50   |CMP       |M     |
| 5 |    3|BSA0394788000                 |05.04.2021|31.12.9999|LOGO AUTOCOLLANT MASTERFOLD 40 MM       |CMP       |M     |
| 4 |    5|BSA00350000ES                 |15.03.2021|31.12.9999|MP00 BASIC TOOLS                        |GOC       |P     |
| 5 |    1|BSA1008011004                 |01.06.2008|31.12.9999|ENTRETOISE  11   / 40  X 62             |SCD       |M     |
| 5 |    2|BSA1003410004                 |01.06.2008|31.12.9999|TIGE FILETEE M10X280                    |SCD       |M     |
| 5 |    3|BSA831300010                  |01.06.2008|31.12.9999|EC 6P       M10     /17X 5              |SCC       |M     |
| 5 |    4|BSA1004002600                 |01.06.2008|31.12.9999|ECROU MOL EPLT M10 X 10                 |SCD       |M     |
| 5 |    5|BSA0115122900                 |01.06.2008|31.12.9999|TIGE TENDEUR COURROIE                   |CMP       |M     |
| 6 |    1|BSA0115122901                 |01.06.2008|31.12.9999|TIGE FIL.                               |CMP       |M     |
| 7 |    1|BSA296212016                  |01.06.2008|31.12.9999|TIGE FILETEE M16X1000                   |RMA       |M     |
| 6 |    2|BSA0115122902                 |01.06.2008|31.12.9999|SUPPORT                                 |CMP       |M     |
| 7 |    1|BSA214510300                  |24.06.2013|31.12.9999|TOLE DECAPEE 3000X1500X3                |RMA       |M     |
| 6 |    3|BSA0115122903                 |01.06.2008|31.12.9999|SUPPORT                                 |CMP       |M     |
| 7 |    1|BSA214510300                  |24.06.2013|31.12.9999|TOLE DECAPEE 3000X1500X3                |RMA       |M     |
| 5 |    6|BSA0115122500                 |01.06.2008|31.12.9999|COURROIE PLOT TENDEUR                   |CMP       |M     |
| 5 |    7|BSA831700016                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M16X13          |SCC       |M     |
| 5 |    8|BSA03220000SR                 |01.06.2008|31.12.9999|MANIVELLE COURTE                        |GOC       |M     |
| 6 |    1|BSA0322116800                 |01.06.2008|31.12.9999|MANIVELLE COURTE                        |CMP       |M     |
| 6 |    2|BSA1008060900                 |01.06.2008|31.12.9999|ENTRETOISE  12,5 / 18  X  8             |SCD       |M     |
| 6 |    3|BSA1051003200                 |01.06.2008|31.12.9999|POIGNEE MOBILE PH NOIR M12              |SCC       |M     |
| 5 |    9|BSA00350000HU                 |07.01.2019|31.12.9999|MP10 TENSIONER                          |GOC       |M     |
| 6 |    1|BSA0322673300                 |01.06.2008|31.12.9999|SUPPORT TENDEUR                         |CMP       |M     |
| 6 |    2|BSA0629310400                 |01.06.2008|31.12.9999|SUPPORT                                 |CMP       |M     |
| 7 |    1|BSA214510400                  |02.01.2012|31.12.9999|TOLE DECAPEE 3000X1500X4                |RMA       |M     |
| 6 |    3|BSA819508050                  |01.06.2008|31.12.9999|V ST 6P A TN    M 8     X 50            |SCC       |M     |
| 6 |    4|BSA870104010                  |01.06.2008|31.12.9999|GOUP EL LOURDE  4   X  10               |SCC       |M     |
| 4 |    6|BSA00330000DM                 |21.06.2021|31.12.9999|PLIEUR UNIVERSEL 150/1000 GCHE          |GOC       |P     |
| 5 |    1|BSA00270000BU                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    2|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 6 |    3|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 6 |    4|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 6 |    5|BSA1007041600                 |01.06.2008|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 6 |    6|BSA1017100607                 |05.05.2014|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 6 |    8|BSA0650202000                 |01.06.2008|31.12.9999|VE DE BLOCAGE                           |CMP       |M     |
| 6 |    9|BSA1002108076                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 20                     |SCC       |M     |
| 6 |   10|BSA1017100607                 |01.06.2008|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 6 |   13|BSA0322496200                 |26.11.2009|31.12.9999|PLAQUETTE                               |CMP       |M     |
| 6 |   15|BSA0251276100                 |02.12.2009|31.12.9999|ETRIER                                  |CMP       |M     |
| 5 |    2|BSA0251324500                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 5 |    3|BSA06260000RQ                 |05.05.2014|31.12.9999|FER DE PLIAGE                           |CMP       |M     |
| 6 |    1|BSA0626153901                 |01.06.2008|31.12.9999|ANGLE                                   |CMP       |M     |
| 7 |    1|BSA217743021                  |01.06.2008|31.12.9999|EQUERRE EGALE ETIREE 20X20X4            |RMA       |M     |
| 6 |    2|BSA0652195400                 |01.06.2008|31.12.9999|LAME                                    |CMP       |M     |
| 7 |    1|BSA246620020                  |01.06.2008|31.12.9999|BANDE 20X2                              |RMA       |M     |
| 5 |    4|BSA0322235500                 |01.06.2008|31.12.9999|SUPPORT                                 |CMP       |M     |
| 6 |    1|BSA214520010                  |14.12.2009|31.12.9999|TOLE LAMINEE 3000X1500X10               |RMA       |M     |
| 5 |    5|BSA816008020                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 20            |SCC       |M     |
| 5 |    6|BSA832808017                  |01.06.2008|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |    7|BSA0626246700                 |01.06.2008|31.12.9999|TUBE                                    |CMP       |M     |
| 5 |    8|BSA0626455300                 |01.06.2008|31.12.9999|HELICE UNIVERSELLE GAUCHE               |CMP       |M     |
| 6 |    1|BSA0626455301                 |30.10.2013|31.12.9999|PLATE                                   |CMP       |M     |
| 7 |    1|BSA274510300                  |30.10.2013|31.12.9999|TOLE LAMINEE 3000X1500X3                |RMA       |M     |
| 6 |    2|BSA0626455302                 |30.10.2013|31.12.9999|PLATE                                   |CMP       |M     |
| 7 |    1|BSA274510200                  |30.10.2013|31.12.9999|TOLE LAMINEE 3000X1500X2                |RMA       |M     |
| 5 |    9|BSA816008016                  |05.05.2014|31.12.9999|V TR 6P         M 8     X 16            |SCC       |M     |
| 5 |   10|BSA0626455600                 |01.06.2008|31.12.9999|GUIDE INFERIEUR                         |CMP       |M     |
| 6 |    1|BSA274510200                  |02.06.2010|31.12.9999|TOLE LAMINEE 3000X1500X2                |RMA       |M     |
| 5 |   11|BSA0626455700                 |01.06.2008|31.12.9999|EQUERRE                                 |CMP       |M     |
| 5 |   12|BSA1002108082                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 45                     |SCC       |M     |
| 5 |   13|BSA832808017                  |05.05.2014|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |   14|BSA0627109600                 |01.06.2008|31.12.9999|TUBE CARRE                              |CMP       |M     |
| 5 |   15|BSA06330000NP                 |01.06.2008|31.12.9999|ETRIER                                  |GOC       |M     |
| 6 |    1|BSA0629159000                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    2|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 6 |    3|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 6 |    4|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 6 |    5|BSA1007041600                 |01.06.2008|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 6 |    6|BSA1017100607                 |01.06.2008|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 6 |    7|BSA870102016                  |01.06.2008|31.12.9999|GOUP EL LOURDE  2   X  16               |SCC       |M     |
| 5 |   16|BSA816008030                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 30            |SCC       |M     |
| 5 |   17|BSA06500000XJ                 |05.05.2014|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    1|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 6 |    2|BSA0650202000                 |01.06.2008|31.12.9999|VE DE BLOCAGE                           |CMP       |M     |
| 6 |    3|BSA0650237500                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    4|BSA1002108076                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 20                     |SCC       |M     |
| 6 |    5|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 6 |    6|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 6 |    7|BSA1007041600                 |01.06.2008|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 6 |    8|BSA1017100607                 |01.06.2008|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 6 |   10|BSA0322496200                 |26.11.2009|31.12.9999|PLAQUETTE                               |CMP       |M     |
| 5 |   18|BSA1007034700                 |01.06.2008|31.12.9999|RDL AC     8,5 / 25   X 3               |SCD       |M     |
| 5 |   19|BSA1008708040                 |05.05.2014|31.12.9999|ENTRETOISE TAR  M 8/16 X 150            |SCD       |M     |
| 5 |   20|BSA872208015                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 16      |SCC       |M     |
| 5 |   21|BSA0650182600                 |05.05.2014|31.12.9999|PLOT                                    |CMP       |M     |
| 5 |   22|BSA1002108079                 |05.05.2014|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 5 |   23|BSA1007041000                 |05.05.2014|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 5 |   24|BSA1007041600                 |05.05.2014|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 5 |   25|BSA1017100607                 |05.05.2014|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 5 |   26|BSA870102016                  |05.05.2014|31.12.9999|GOUP EL LOURDE  2   X  16               |SCC       |M     |
| 5 |   27|BSA0322308200                 |05.05.2014|31.12.9999|SUPPORT                                 |CMP       |M     |
| 5 |   28|BSA872208012                  |05.05.2014|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 12      |SCC       |M     |
| 5 |   43|BSA0322223400                 |22.09.2015|31.12.9999|EQUERRE PORTE-OUTIL                     |CMP       |M     |
| 5 |   44|BSA1007068700                 |22.09.2015|31.12.9999|RDL AC     8,2 / 16   X 3,5             |SCD       |M     |
| 5 |   45|BSA816008016                  |22.09.2015|31.12.9999|V TR 6P         M 8     X 16            |SCC       |M     |
| 5 |   46|BSA872208015                  |22.09.2015|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 16      |SCC       |M     |
| 5 |   47|BSA872208030                  |22.09.2015|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 30      |SCC       |M     |
| 5 |   48|BSA1008408102                 |22.09.2015|31.12.9999|ENTRETOISE   8,1 / 20  X  8             |SCD       |M     |
| 4 |    7|BSA00340000 J                 |21.06.2021|31.12.9999|PLIEUR UNIVERS.GAUCHE 60/550            |GOC       |P     |
| 5 |    1|BSA0322223400                 |01.06.2008|31.12.9999|EQUERRE PORTE-OUTIL                     |CMP       |M     |
| 5 |    2|BSA1008408102                 |01.06.2008|31.12.9999|ENTRETOISE   8,1 / 20  X  8             |SCD       |M     |
| 5 |    3|BSA872208030                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 30      |SCC       |M     |
| 5 |    4|BSA0626455700                 |01.06.2008|31.12.9999|EQUERRE                                 |CMP       |M     |
| 5 |    5|BSA1002108082                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 45                     |SCC       |M     |
| 5 |    6|BSA0627109600                 |01.06.2008|31.12.9999|TUBE CARRE                              |CMP       |M     |
| 5 |    7|BSA0633311600                 |01.06.2008|31.12.9999|LAME DE PLIAGE GCHE                     |CMP       |M     |
| 5 |    8|BSA816008010                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 10            |SCC       |M     |
| 5 |    9|BSA832808017                  |01.06.2008|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |   10|BSA0633311800                 |01.06.2008|31.12.9999|EQUERRE SUP.                            |CMP       |M     |
| 5 |   11|BSA0633312000                 |01.06.2008|31.12.9999|GUIDE INFERIEUR                         |CMP       |M     |
| 5 |   12|BSA824408060                  |01.06.2008|31.12.9999|V 6P            M 8     X 60            |SCC       |M     |
| 5 |   13|BSA831700008                  |01.06.2008|31.12.9999|ECROU HEXAGONAL ZG BLEU M8X6.5          |SCC       |M     |
| 5 |   14|BSA832808017                  |01.06.2008|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |   15|BSA0633312100                 |01.06.2008|31.12.9999|HELICE GCHE                             |CMP       |M     |
| 5 |   16|BSA1008708040                 |01.06.2008|31.12.9999|ENTRETOISE TAR  M 8/16 X 150            |SCD       |M     |
| 5 |   17|BSA816008010                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 10            |SCC       |M     |
| 5 |   18|BSA816008016                  |01.06.2008|31.12.9999|V TR 6P         M 8     X 16            |SCC       |M     |
| 5 |   19|BSA832808017                  |01.06.2008|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |   20|BSA06500000XJ                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    1|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 6 |    2|BSA0650202000                 |01.06.2008|31.12.9999|VE DE BLOCAGE                           |CMP       |M     |
| 6 |    3|BSA0650237500                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 6 |    4|BSA1002108076                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 20                     |SCC       |M     |
| 6 |    5|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 6 |    6|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
| 6 |    7|BSA1007041600                 |01.06.2008|31.12.9999|RDL ROTULE FORM D M8 DIN 6319           |SCC       |M     |
| 6 |    8|BSA1017100607                 |01.06.2008|31.12.9999|RESSORT COMPR. D=0.6 DM=11 L0=26        |SCC       |M     |
| 6 |   10|BSA0322496200                 |26.11.2009|31.12.9999|PLAQUETTE                               |CMP       |M     |
| 4 |    8|BSA03220000NB                 |21.06.2021|31.12.9999|PRESSEUR UNI LARGE                      |GOC       |P     |
| 5 |    1|BSA0251265500                 |01.06.2008|31.12.9999|ETRIER                                  |CMP       |M     |
| 5 |    2|BSA0322575200                 |05.05.2014|31.12.9999|POTENCE C                               |CMP       |M     |
| 5 |    3|BSA1002108076                 |05.05.2014|31.12.9999|VIS MOLETEE M8 X 20                     |SCC       |M     |
| 5 |    4|BSA832808017                  |05.05.2014|31.12.9999|RDL AC     8,4 / 16   X 1,6             |SCC       |M     |
| 5 |    5|BSA0322259700                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 5 |    6|BSA1007210514                 |01.06.2008|31.12.9999|RDL  AC    10,5 / 16  X 1,2             |SCC       |M     |
| 5 |    7|BSA1008007800                 |01.06.2008|31.12.9999|ENTRETOISE 10.5/14x6                    |SCD       |M     |
| 5 |    8|BSA0322575300                 |05.05.2014|31.12.9999|GALET                                   |CMP       |M     |
| 5 |    9|BSA1116517300                 |01.06.2008|31.12.9999|RLT RIGIDE A BILLES 10X30X9             |SCC       |M     |
| 5 |   10|BSA824410035                  |01.06.2008|31.12.9999|V 6P            M10     X 35            |SCC       |M     |
| 5 |   11|BSA871000030                  |01.06.2008|31.12.9999|CIRCLIP I DIN 472 D.30                  |SCC       |M     |
| 5 |   12|BSA872208015                  |01.06.2008|31.12.9999|V TR 6P EXTRA BASSE   M 8     X 16      |SCC       |M     |
| 5 |   13|BSA0322259800                 |01.06.2008|31.12.9999|EXCENTRIQUE                             |CMP       |M     |
| 5 |   14|BSA819110030                  |01.06.2008|31.12.9999|VIS SANS TETE 6P CREUX M10X30           |SCC       |M     |
| 5 |   15|BSA0650182600                 |01.06.2008|31.12.9999|PLOT                                    |CMP       |M     |
| 5 |   16|BSA1002108079                 |01.06.2008|31.12.9999|VIS MOLETEE M8 X 30                     |SCC       |M     |
| 5 |   17|BSA1007041000                 |01.06.2008|31.12.9999|RDL ROTULE FORM C M8 DIN 6319           |SCC       |M     |
